Frequenz	Amplitude
Hz	4-60
Inf	0,00000
10,42549	7,53851E-5
16,46678	8,79882E-5
19,92965	9,40936E-5
29,46032	0,00019
38,31975	0,00028
50,43356	0,00039
59,32776	0,00050
68,45207	0,00065
77,71128	0,00077
89,74771	0,00093
98,77401	0,00109
108,01243	0,00132
117,39557	0,00146
129,26967	0,00170
138,51273	0,00200
147,78577	0,00229
157,17460	0,00256
168,99653	0,00300
178,22296	0,00357
187,56248	0,00420
197,08501	0,00499
208,85905	0,00648
218,11934	0,00869
227,52825	0,01227
239,75720	0,02009
245,63141	0,03148
253,82178	0,03413
266,45411	0,01660
276,35174	0,01094
287,88958	0,00844
297,33304	0,00710
306,89326	0,00611
318,61853	0,00546
327,89344	0,00531
337,31844	0,00512
346,90130	0,00494
358,51445	0,00509
367,80136	0,00547
377,27668	0,00573
386,87489	0,00608
398,38319	0,00702
407,73471	0,00803
417,24373	0,00915
429,04434	0,01086
438,28479	0,01355
447,67709	0,01693
457,20693	0,02144
468,97945	0,03012
478,27241	0,04520
487,58975	0,07319
496,43102	0,11915
504,91878	0,14011
517,12112	0,08258
526,90053	0,05845
536,63188	0,04592
548,10762	0,03987
557,52647	0,03627
567,08762	0,03322
578,77489	0,03108
588,05072	0,03118
597,48484	0,03077
607,05630	0,03024
618,62541	0,03088
627,93863	0,03242
637,40500	0,03357
647,00105	0,03471
658,48229	0,03817
667,83247	0,04208
677,33724	0,04609
689,12455	0,05154
698,37397	0,06235
707,76342	0,07574
717,28596	0,09460
729,10302	0,13153
738,28303	0,19973
747,07247	0,28843
755,80046	0,29886
765,78750	0,19148
777,50403	0,13259
787,11536	0,10355
796,78495	0,08515
808,24844	0,07535
817,64628	0,06970
827,19407	0,06474
836,82328	0,06091
848,17775	0,06188
857,59709	0,06228
867,16071	0,06246
878,77538	0,06477
888,07394	0,07017
897,52535	0,07510
907,10865	0,08045
918,64242	0,09170
927,97390	0,10615
937,45317	0,12253
949,30766	0,14393
958,53968	0,18599
967,87508	0,24241
977,28881	0,32283
989,10794	0,43617
997,91114	0,54909
1006,92668	0,53446
1016,57909	0,42139
1026,35256	0,32860
1037,77759	0,28187
1047,28289	0,24828
1056,90362	0,22204
1068,41459	0,20860
1077,76231	0,20331
1087,26401	0,19630
1096,86827	0,19000
1108,27902	0,19455
1117,65072	0,19849
1127,16942	0,19962
1138,86741	0,20130
1148,11563	0,21493
1157,51735	0,22382
1167,05951	0,23019
1178,67500	0,24243
1187,95694	0,26340
1197,39686	0,28074
1206,96410	0,29825
1218,51264	0,33549
1227,81995	0,38292
1237,25776	0,43547
1246,76171	0,49724
1258,21736	0,58879
1267,31143	0,64077
1276,62058	0,60051
1286,22677	0,49226
1297,75125	0,39361
1307,23869	0,32199
1316,87069	0,26437
1328,44624	0,22270
1337,79206	0,20040
1347,30304	0,17878
1356,92569	0,16019
1368,35113	0,15079
1377,73369	0,14440
1387,27134	0,13704
1396,89781	0,13043
1408,23739	0,13332
1417,65586	0,13443
1427,21911	0,13501
1438,82587	0,13997
1448,12909	0,15262
1457,58407	0,16535
1467,16197	0,18143
1478,73291	0,21595
1488,04924	0,26878
1497,42467	0,34425
1506,67459	0,44258
1515,65037	0,49480
1527,04042	0,39009
1536,76692	0,26915
1546,55124	0,19244
1557,96213	0,15079
1567,44708	0,12429
1577,06151	0,10394
1588,61823	0,08933
1597,94977	0,08225
1607,44211	0,07506
1617,05526	0,06873
1628,50677	0,06590
1637,87166	0,06481
1647,39196	0,06321
1657,01368	0,06192
1668,38910	0,06512
1677,79142	0,06830
1687,33853	0,07159
1699,01048	0,07749
1708,30151	0,08983
1717,72886	0,10442
1727,28039	0,12464
1738,96134	0,16457
1748,16189	0,23035
1757,13481	0,30704
1766,06937	0,31742
1775,80723	0,22452
1787,46508	0,15685
1797,11501	0,11889
1806,81344	0,09437
1818,18023	0,08092
1827,62782	0,07144
1837,22040	0,06333
1848,80550	0,05715
1858,12488	0,05534
1867,60248	0,05295
1877,21160	0,05081
1888,69486	0,05118
1898,05123	0,05337
1907,55124	0,05541
1917,15722	0,05793
1928,57550	0,06512
1937,93837	0,07321
1947,44136	0,08193
1959,19789	0,09384
1968,45259	0,11659
1977,81572	0,14651
1987,23938	0,18964
1996,51581	0,24763
2005,44560	0,28163
2016,78334	0,22757
2026,59190	0,15508
2036,36868	0,11024
2047,70659	0,08768
2057,26267	0,07147
2066,91197	0,05959
2078,31539	0,05260
2087,71949	0,04789
2097,27457	0,04352
2106,91429	0,03994
2118,22776	0,03949
2127,66438	0,03877
2137,24092	0,03804
2148,82204	0,03861
2158,14040	0,04123
2167,60791	0,04373
2177,20347	0,04673
2188,72378	0,05373
2198,07174	0,06359
2207,55369	0,07650
2219,44596	0,09649
2228,63726	0,13675
2237,66136	0,18836
2246,52188	0,21276
2256,06524	0,16698
2267,82800	0,11602
2277,37606	0,08982
2287,03856	0,07219
2298,61128	0,06048
2307,95950	0,05496
2317,46395	0,04969
2327,08454	0,04519
2338,51605	0,04306
2347,88683	0,04198
2357,41324	0,04046
2367,03799	0,03904
2378,38612	0,04026
2387,79222	0,04121
2397,34234	0,04195
2408,98141	0,04375
2418,27292	0,04859
2427,70547	0,05380
2437,26136	0,06059
2448,89919	0,07420
2458,14217	0,09669
2467,26196	0,12458
2476,18849	0,13630
2485,63714	0,10365
2497,35059	0,06727
2507,01701	0,04753
2516,72572	0,03535
2528,11533	0,02835
2537,56076	0,02387
2547,15127	0,02037
2556,79983	0,01778
2568,09055	0,01695
2577,56380	0,01617
2587,16840	0,01567
2598,71631	0,01611
2608,06861	0,01748
2617,56975	0,01920
2627,18119	0,02178
2638,69842	0,02787
2648,02719	0,03714
2657,30529	0,05074
2666,32422	0,06350
2675,50653	0,05809
2687,22344	0,04152
2696,97412	0,03068
2706,70811	0,02399
2717,99916	0,02078
2727,50804	0,01820
2737,13197	0,01608
2748,57780	0,01479
2757,94400	0,01404
2767,46285	0,01312
2777,09067	0,01222
2788,43055	0,01197
2797,83017	0,01167
2807,37756	0,01116
2818,99609	0,01064
2828,27762	0,01076
2837,70912	0,01058
2847,28562	0,01021
2858,79857	0,01003
2868,11528	0,01015
2877,59217	0,00998
2887,19369	0,00969
2898,61278	0,00973
2907,96698	0,00982
2917,48032	0,00965
2927,09620	0,00937
2938,42951	0,00958
2947,82988	0,00961
2957,37479	0,00946
2968,97502	0,00926
2978,26069	0,00955
2987,69945	0,00953
2997,27478	0,00936
3008,77673	0,00936
3018,10050	0,00958
3027,57686	0,00953
3037,18001	0,00934
3048,58525	0,00953
3057,94764	0,00970
3067,46338	0,00963
3077,08401	0,00946
3088,40239	0,00980
3097,80449	0,00992
3107,35685	0,00986
3118,94879	0,00983
3128,23275	0,01024
3137,67550	0,01035
3147,25528	0,01030
3158,74774	0,01050
3168,07553	0,01095
3177,55505	0,01111
3187,15741	0,01114
3198,56748	0,01172
3207,93132	0,01227
3217,44768	0,01263
3227,06088	0,01294
3238,40772	0,01420
3247,80242	0,01526
3257,34715	0,01631
3268,99064	0,01790
3278,27756	0,02075
3287,70918	0,02389
3297,27234	0,02785
3308,89732	0,03522
3318,20750	0,04669
3327,62156	0,06372
3337,05799	0,09043
3348,58007	0,13255
3357,40826	0,15999
3366,79654	0,14752
3376,60685	0,12478
3388,20418	0,11687
3397,66026	0,11796
3407,24078	0,12418
3418,98087	0,14113
3428,22811	0,17552
3437,46940	0,21756
3446,64818	0,24832
3455,99223	0,23136
3467,53639	0,18250
3477,13498	0,14245
3486,84614	0,11388
3498,30465	0,09745
3507,72475	0,08764
3517,29376	0,07926
3526,94085	0,07277
3538,25220	0,07225
3547,69043	0,07135
3557,26571	0,07055
3568,84590	0,07237
3578,15937	0,07823
3587,61713	0,08429
3597,19333	0,09210
3608,74536	0,10884
3618,03588	0,13348
3627,36586	0,16443
3636,62176	0,19436
3645,83211	0,19605
3657,24533	0,16061
3666,88740	0,12048
3676,62632	0,09173
3688,02818	0,07559
3697,50382	0,06474
3707,11647	0,05615
3718,68060	0,05030
3728,01520	0,04816
3737,50853	0,04578
3747,12489	0,04376
3758,58196	0,04421
3767,95153	0,04571
3777,47196	0,04703
3787,09685	0,04884
3798,48277	0,05516
3807,88135	0,06216
3817,41320	0,07065
3829,12226	0,08456
3838,37543	0,10858
3847,66219	0,13920
3856,89716	0,17030
3866,13824	0,17815
3877,59222	0,15105
3887,14365	0,11851
3896,85982	0,09312
3908,36236	0,07725
3917,76968	0,06811
3927,32878	0,06014
3936,97610	0,05373
3948,30133	0,05131
3957,72815	0,04902
3967,29847	0,04655
3978,88422	0,04498
3988,18904	0,04602
3997,64424	0,04633
4007,22928	0,04652
4018,74102	0,04884
4028,07409	0,05286
4037,55017	0,05688
4047,13982	0,06187
4058,62196	0,07313
4067,94165	0,08811
4077,32450	0,10694
4086,66005	0,12741
4097,99673	0,13641
4107,14022	0,12033
4116,76476	0,09141
4126,51087	0,06886
4137,90249	0,05608
4147,40655	0,04717
4157,03638	0,04030
4168,54769	0,03583
4177,90590	0,03366
4187,42629	0,03144
4197,05649	0,02954
4208,45489	0,02950
4217,85051	0,02976
4227,39631	0,02987
4239,06947	0,03033
4248,35519	0,03316
4257,78583	0,03582
4267,35286	0,03880
4278,95312	0,04421
4288,26364	0,05284
4297,69492	0,06348
4307,20734	0,07769
4318,76151	0,10088
4327,79429	0,12348
4336,93556	0,12610
4346,51198	0,10514
4358,14222	0,08222
4367,59142	0,06827
4377,20223	0,05713
4386,87584	0,04884
4398,16932	0,04510
4407,63181	0,04161
4417,22826	0,03837
4428,74680	0,03643
4438,07972	0,03616
4447,56420	0,03536
4457,17137	0,03452
4468,60640	0,03544
4477,96792	0,03691
4487,47745	0,03808
4497,08920	0,03949
4508,47482	0,04433
4517,85473	0,04969
4527,36009	0,05611
4539,09656	0,06586
4548,27281	0,08227
4557,42820	0,09776
4566,63413	0,10183
4576,12507	0,08744
4587,65016	0,06855
4597,19730	0,05436
4606,87301	0,04387
4618,37922	0,03730
4627,77014	0,03365
4637,31720	0,03042
4646,96118	0,02787
4658,32488	0,02742
4667,74524	0,02711
4677,31022	0,02675
4688,93269	0,02701
4698,23514	0,02895
4707,68819	0,03065
4717,27402	0,03246
4728,80915	0,03633
4738,14097	0,04179
4747,61165	0,04798
4757,18796	0,05581
4768,68443	0,07090
4777,95028	0,09007
4787,23284	0,11039
4796,52592	0,12231
4807,98911	0,11452
4817,35058	0,09708
4826,99360	0,07835
4836,69821	0,06404
4848,01107	0,05675
4857,50442	0,05045
4867,12349	0,04513
4878,60046	0,04194
4887,95568	0,04048
4897,46529	0,03863
4907,08418	0,03689
4918,47080	0,03732
4927,85433	0,03796
4937,38404	0,03832
4949,07433	0,03903
4958,34135	0,04298
4967,74239	0,04694
4977,26877	0,05164
4988,94623	0,05962
4998,15981	0,07270
5007,38972	0,08625
5016,63155	0,09363
5026,02585	0,08601
5037,50773	0,06980
5047,06717	0,05523
5056,75887	0,04419
5068,24785	0,03748
5077,66334	0,03352
5087,23327	0,03013
5096,88539	0,02750
5108,21477	0,02714
5117,66032	0,02666
5127,24753	0,02619
5138,81519	0,02668
5148,14123	0,02848
5157,61817	0,03014
5167,21796	0,03211
5178,70788	0,03678
5188,05390	0,04304
5197,51274	0,05077
5207,01770	0,06071
5218,41064	0,07555
5227,46298	0,08319
5236,80478	0,07550
5246,49967	0,05974
5257,96933	0,04797
5267,47570	0,03982
5277,11448	0,03350
5288,63670	0,02919
5297,98810	0,02706
5307,49298	0,02489
5317,11065	0,02299
5328,52191	0,02234
5337,88971	0,02214
5347,40121	0,02177
5357,00294	0,02157
5368,37639	0,02302
5377,73799	0,02470
5387,20177	0,02676
5396,68576	0,02952
5408,01795	0,03403
5417,08196	0,03539
5426,44459	0,03126
5436,12984	0,02472
5447,68267	0,02034
5457,22519	0,01764
5466,89347	0,01577
5478,44390	0,01508
5487,82978	0,01510
5497,37570	0,01516
5507,01465	0,01546
5518,39840	0,01729
5527,77275	0,01933
5537,20024	0,02141
5546,59807	0,02246
