Frequenz	Amplitude
Hz	10-25-1
Inf	0,00000
8,27672	2,51123E-5
20,17779	6,32912E-5
19,71206	7,75742E-5
33,42518	0,00012
37,46718	0,00020
46,75348	0,00029
59,07464	0,00039
67,84681	0,00050
76,87176	0,00063
86,02996	0,00077
98,58545	0,00090
107,35745	0,00106
116,49037	0,00126
125,70312	0,00144
135,17834	0,00160
146,95972	0,00182
156,13077	0,00208
165,55125	0,00233
175,04188	0,00256
186,66146	0,00289
195,92725	0,00322
205,35578	0,00353
217,33370	0,00386
226,41351	0,00445
235,72718	0,00497
245,23456	0,00555
257,06733	0,00631
266,23263	0,00737
275,64577	0,00847
285,11224	0,00987
296,88391	0,01203
306,12178	0,01504
315,56709	0,01925
327,75324	0,02619
336,75140	0,04046
345,47656	0,06470
353,88917	0,09072
363,64373	0,06264
373,40082	0,03808
385,30382	0,02753
394,90131	0,02225
404,38322	0,01869
415,93217	0,01658
425,40815	0,01514
434,92232	0,01404
446,54580	0,01316
455,87163	0,01291
465,36062	0,01260
474,84929	0,01236
486,42159	0,01241
495,77986	0,01270
505,27298	0,01290
514,75107	0,01313
526,27858	0,01392
535,67932	0,01473
545,19207	0,01540
556,89065	0,01646
566,14186	0,01803
575,59281	0,01966
585,09669	0,02135
596,71633	0,02400
606,02416	0,02718
615,50335	0,03070
625,00403	0,03488
636,57099	0,04214
645,93095	0,05065
655,42838	0,06155
667,28115	0,07921
676,46130	0,10812
685,77701	0,15363
695,00364	0,23057
703,83140	0,33327
712,72657	0,32132
724,88145	0,20651
734,60849	0,15259
744,06122	0,12057
755,72748	0,10347
765,26195	0,09203
774,75722	0,08329
786,29947	0,07776
795,71475	0,07449
805,22784	0,07150
814,67211	0,06873
826,18840	0,06898
835,63193	0,06879
845,13624	0,06858
856,76046	0,06923
866,06271	0,07183
875,53168	0,07380
885,02704	0,07576
896,58619	0,08004
905,93635	0,08515
915,42755	0,08995
924,90205	0,09514
936,42436	0,10550
945,81865	0,11578
955,31908	0,12705
967,04318	0,14235
976,27424	0,16500
985,69502	0,19028
995,18980	0,22141
1006,84414	0,26959
1016,07340	0,33434
1025,44085	0,41451
1034,81175	0,51120
1044,02976	0,60258
1055,36914	0,64941
1064,83133	0,61323
1074,37502	0,53768
1086,00547	0,45845
1095,46068	0,41293
1105,00007	0,37406
1114,44453	0,34093
1125,98328	0,32031
1135,44007	0,30410
1144,94042	0,28819
1156,54770	0,27241
1165,85786	0,26680
1175,33161	0,25738
1184,81148	0,24610
1196,35702	0,23619
1205,72534	0,23014
1215,22433	0,22134
1224,67922	0,21124
1236,19982	0,20571
1245,62529	0,20029
1255,13341	0,19375
1266,79160	0,18612
1276,07413	0,18642
1285,53948	0,18426
1295,04310	0,18156
1306,62250	0,18190
1315,96479	0,18595
1325,45613	0,18889
1334,94094	0,19241
1346,47864	0,20388
1355,86484	0,21678
1365,36835	0,23140
1377,12843	0,25155
1386,34459	0,28887
1395,74699	0,33340
1405,21857	0,39379
1416,86578	0,48577
1425,84298	0,60449
1434,89900	0,67829
1444,26870	0,61353
1453,74786	0,46173
1465,52821	0,33734
1475,12451	0,26547
1484,64414	0,21411
1496,21136	0,17660
1505,65983	0,15328
1515,18632	0,13410
1524,62229	0,11798
1536,14763	0,10769
1545,61154	0,09907
1555,12218	0,09133
1566,71428	0,08463
1576,04350	0,08147
1585,53044	0,07775
1595,02220	0,07429
1606,55804	0,07267
1615,93512	0,07201
1625,43739	0,07095
1634,90350	0,06995
1646,41326	0,07192
1655,83164	0,07350
1665,34220	0,07507
1677,01532	0,07785
1686,28365	0,08358
1695,73719	0,08922
1705,24857	0,09583
1716,86083	0,10768
1726,17329	0,12334
1735,64347	0,14304
1747,60251	0,17078
1756,68904	0,22305
1765,84596	0,29534
1774,90832	0,38049
1783,98988	0,40839
1793,31174	0,31156
1805,29903	0,21564
1814,94769	0,16368
1824,42508	0,12906
1836,02453	0,10738
1845,54004	0,09276
1855,06714	0,08138
1866,63904	0,07307
1876,02206	0,06850
1885,53526	0,06457
1895,02254	0,06157
1906,53246	0,06131
1915,92738	0,06146
1925,42134	0,06147
1937,12216	0,06134
1946,34833	0,06374
1955,77043	0,06489
1965,27071	0,06553
1976,89648	0,06660
1986,18405	0,06921
1995,64852	0,07093
2005,14981	0,07248
2016,71494	0,07617
2026,06053	0,08074
2035,55187	0,08521
2045,03814	0,09037
2056,56652	0,10136
2065,95342	0,11341
2075,45318	0,12848
2087,22477	0,15216
2096,40564	0,19086
2105,69040	0,24430
2114,89886	0,31415
2123,92898	0,36397
2132,97620	0,31015
2145,01464	0,21784
2154,66685	0,16108
2164,07814	0,12333
2175,76352	0,10109
2185,30375	0,08544
2194,78674	0,07337
2206,31675	0,06476
2215,75355	0,05878
2225,27288	0,05354
2234,70367	0,04891
2246,21656	0,04663
2255,67940	0,04436
2265,18856	0,04224
2276,77805	0,04079
2286,10690	0,04054
2295,59278	0,03998
2305,08770	0,03952
2316,62509	0,04038
2326,00061	0,04151
2335,50411	0,04256
2347,27053	0,04383
2356,48748	0,04756
2365,90451	0,05110
2375,41561	0,05513
2387,10588	0,06154
2396,36668	0,07095
2405,80765	0,08219
2415,31118	0,09740
2426,94478	0,12474
2436,12878	0,16391
2445,30721	0,21542
2454,39163	0,26019
2463,57009	0,24101
2475,37708	0,17503
2485,04685	0,13398
2494,59308	0,10637
2506,18154	0,08807
2515,66223	0,07687
2525,19640	0,06800
2534,61516	0,06070
2546,14716	0,05701
2555,62827	0,05343
2565,13442	0,05026
2576,69545	0,04823
2586,04720	0,04739
2595,54244	0,04633
2605,02578	0,04540
2616,54402	0,04618
2625,93788	0,04709
2635,44274	0,04804
2647,17083	0,04955
2656,40161	0,05379
2665,82117	0,05832
2675,31860	0,06423
2686,98323	0,07418
2696,15430	0,08944
2705,37149	0,10754
2714,52035	0,12159
2723,67252	0,11200
2732,81508	0,07969
2744,99109	0,05556
2754,55162	0,04034
2763,86008	0,02979
2775,60008	0,02330
2785,12800	0,01857
2794,55397	0,01489
2806,07241	0,01209
2815,52455	0,01009
2825,02626	0,00843
2834,38746	0,00702
2845,91379	0,00601
2855,39152	0,00520
2864,87814	0,00454
2874,19876	0,00395
2885,78935	0,00366
2895,30177	0,00341
2904,78828	0,00321
2916,34619	0,00312
2925,77427	0,00310
2935,28719	0,00310
2944,74434	0,00306
2956,25928	0,00320
2965,70913	0,00324
2975,22210	0,00328
2986,82758	0,00335
2996,14484	0,00346
3005,61078	0,00351
3015,10633	0,00352
3026,64347	0,00363
3036,00823	0,00370
3045,50987	0,00372
3054,97388	0,00372
3066,47175	0,00385
3075,89477	0,00388
3085,40466	0,00388
3097,04069	0,00391
3106,31666	0,00401
3115,77832	0,00402
3125,28259	0,00401
3136,83097	0,00407
3146,18291	0,00415
3155,67160	0,00416
3165,16173	0,00414
3176,66136	0,00430
3186,07387	0,00439
3195,57848	0,00444
3207,27240	0,00454
3216,53099	0,00479
3225,97144	0,00497
3235,49428	0,00516
3247,10261	0,00553
3256,41349	0,00598
3265,89224	0,00643
3275,40401	0,00692
3286,94247	0,00790
3296,29441	0,00891
3305,79013	0,01004
3317,60190	0,01160
3326,78850	0,01393
3336,17146	0,01658
3345,67177	0,01991
3357,42236	0,02527
3366,63903	0,03304
3376,01385	0,04394
3385,43410	0,06064
3396,99506	0,08786
3405,67431	0,11487
3414,87003	0,11270
3424,58692	0,08695
3434,11610	0,06653
3445,83964	0,05530
3455,39838	0,04808
3464,90408	0,04276
3476,43793	0,03957
3485,86558	0,03745
3495,38392	0,03559
3504,82839	0,03394
3516,33203	0,03402
3525,78249	0,03375
3535,29177	0,03351
3546,89446	0,03396
3556,20592	0,03523
3565,68070	0,03631
3575,17932	0,03754
3586,73123	0,04048
3596,08584	0,04396
