Frequenz	Amplitude
Hz	10-25-3
Inf	0,00000
10,64551	4,47341E-5
19,65350	5,32042E-5
20,49673	0,00011
30,26444	0,00022
40,76069	0,00036
50,34905	0,00052
59,88742	0,00060
69,70660	0,00082
80,32792	0,00100
90,00629	0,00122
99,83217	0,00145
109,74340	0,00159
120,08193	0,00187
129,87089	0,00215
139,75690	0,00240
150,17639	0,00264
159,94974	0,00296
169,80397	0,00330
179,75630	0,00364
190,08656	0,00401
199,90792	0,00449
209,78794	0,00496
219,75018	0,00545
230,00885	0,00609
239,87595	0,00690
249,78405	0,00779
259,75417	0,00874
269,97257	0,01021
279,86679	0,01192
289,78596	0,01412
300,09825	0,01712
309,97068	0,02199
319,86797	0,02946
329,79060	0,04278
340,28529	0,07164
349,76305	0,11410
359,35026	0,08687
369,75730	0,05204
379,86215	0,03748
389,80543	0,02956
399,77397	0,02468
409,78830	0,02148
419,89058	0,01953
429,81594	0,01799
439,78715	0,01690
449,99022	0,01619
459,89318	0,01590
469,82124	0,01565
479,79036	0,01553
489,97590	0,01569
499,87707	0,01607
509,81422	0,01652
519,80059	0,01704
529,95657	0,01799
539,86073	0,01912
549,80798	0,02032
559,79792	0,02182
569,93611	0,02396
579,85432	0,02636
589,80933	0,02914
600,03048	0,03272
609,92133	0,03759
619,84604	0,04336
629,80696	0,05074
640,01728	0,06122
649,91611	0,07616
659,84336	0,09795
669,79807	0,13221
680,07369	0,19629
689,93733	0,31784
699,46730	0,42662
709,56790	0,32599
719,79027	0,22293
729,78906	0,16735
739,80109	0,13581
749,94970	0,11672
759,86613	0,10451
769,81880	0,09532
779,81426	0,08860
789,94777	0,08452
799,86299	0,08168
809,81960	0,07943
819,82076	0,07792
829,93205	0,07813
839,85399	0,07853
849,81749	0,07915
859,82678	0,08047
869,91561	0,08349
879,84492	0,08648
889,81517	0,08995
899,99541	0,09477
909,89954	0,10121
919,83676	0,10830
929,81446	0,11643
939,97589	0,12775
949,88567	0,14156
959,82877	0,15764
969,81286	0,17776
979,96213	0,20616
989,87410	0,24231
999,81582	0,28933
1010,07078	0,35438
1019,95591	0,45206
1029,84162	0,58112
1039,72168	0,72736
1049,97802	0,82467
1059,77174	0,80171
1069,72622	0,69202
1079,76933	0,58608
1089,90272	0,51159
1099,82647	0,45526
1109,79500	0,41168
1119,80872	0,37928
1129,90080	0,35807
1139,82784	0,33921
1149,79771	0,32180
1159,98606	0,30799
1169,88159	0,29839
1179,81740	0,28661
1189,80089	0,27457
1199,95624	0,26532
1209,86391	0,25698
1219,81346	0,24725
1229,81065	0,23793
1239,93245	0,23183
1249,85174	0,22565
1259,81381	0,21920
1269,82541	0,21410
1279,91295	0,21257
1289,84418	0,21092
1299,81730	0,20977
1309,99369	0,21106
1319,89978	0,21579
1329,83860	0,22112
1339,82089	0,22828
1349,97693	0,24068
1359,89131	0,25770
1369,83463	0,27891
1379,81801	0,30769
1389,97379	0,35226
1399,88522	0,41504
1409,81788	0,50526
1419,76006	0,63555
1429,93270	0,79936
1439,66849	0,83142
1449,66013	0,66496
1459,88616	0,49265
1469,82327	0,37485
1479,80647	0,29536
1489,82702	0,24138
1499,92159	0,20496
1509,85343	0,17781
1519,82443	0,15639
1529,84028	0,14003
1539,91653	0,12849
1549,85292	0,11863
1559,82955	0,11038
1569,85193	0,10403
1579,90552	0,10001
1589,84772	0,09636
1599,82993	0,09349
1609,97863	0,09206
1619,89340	0,09195
1629,84341	0,09205
1639,83228	0,09292
1649,96113	0,09572
1659,88327	0,09965
1669,83953	0,10449
1679,83512	0,11112
1689,95195	0,12149
1699,88491	0,13197
1709,83480	0,15704
1720,05080	0,18321
1729,95739	0,22547
1739,87383	0,28990
1749,77537	0,38899
1760,02459	0,49512
1769,68155	0,46817
1779,70780	0,33461
1789,82603	0,23913
1799,88523	0,18299
1809,83763	0,14637
1819,82691	0,12112
1829,85891	0,10342
1839,90175	0,09116
1849,85180	0,08149
1859,83904	0,07408
1869,98176	0,06892
1879,90359	0,06579
1889,85596	0,06360
1899,84310	0,06256
1909,97508	0,06299
1919,89456	0,06432
1929,84346	0,06577
1939,83350	0,06739
1949,95287	0,06990
1959,87604	0,07235
1969,83347	0,07472
1979,83820	0,07751
1989,93332	0,08180
1999,86356	0,08648
2009,83106	0,09204
2020,01330	0,09969
2029,92274	0,11094
2039,85883	0,12541
2049,82536	0,14576
2060,02619	0,17819
2069,93423	0,23149
2079,81672	0,31457
2089,58193	0,39185
2099,75174	0,34538
2109,72943	0,23791
2119,79608	0,16743
2129,86871	0,12639
2139,87072	0,10092
2149,83207	0,08301
2159,83188	0,07008
2169,95451	0,06085
2179,87699	0,05396
2189,83660	0,04825
2199,83914	0,04367
2209,94452	0,04031
2219,87104	0,03753
2229,83646	0,03510
2239,84666	0,03311
2249,93046	0,03183
2259,86321	0,03068
2269,83554	0,02968
2279,85192	0,02899
2289,91502	0,02882
2299,85699	0,02863
2309,83884	0,02861
2319,98382	0,02899
2329,90157	0,02978
2339,85222	0,03065
2349,83792	0,03180
2359,96932	0,03364
2369,89380	0,03602
2379,84750	0,03885
2389,83999	0,04257
2399,96243	0,04815
2409,88767	0,05550
2419,84224	0,06570
2430,06917	0,08112
2439,98221	0,10757
2449,87765	0,15087
2459,64972	0,20305
2469,83462	0,19516
2479,73890	0,13920
2489,79243	0,09842
2499,84547	0,07486
2509,90453	0,06060
2519,85122	0,05081
