Frequenz	Amplitude
Hz	10-75-3
Inf	0,00000
10,75319	2,60564E-5
15,53321	1,97852E-5
20,85693	5,02844E-5
33,85294	0,00010
37,59050	0,00013
50,53973	0,00020
59,46153	0,00027
68,37330	0,00036
77,49596	0,00045
89,87540	0,00052
98,60205	0,00068
107,80393	0,00082
117,00814	0,00095
126,39470	0,00106
138,31308	0,00128
147,48830	0,00150
156,75605	0,00169
166,21789	0,00185
177,95544	0,00219
187,16346	0,00249
196,58456	0,00281
208,62361	0,00319
217,71975	0,00382
226,98262	0,00445
236,47086	0,00510
248,39515	0,00613
257,53981	0,00755
266,87855	0,00940
276,38383	0,01184
288,27859	0,01669
297,48960	0,02509
306,66546	0,04086
315,15250	0,06507
323,95553	0,06464
333,96017	0,03408
346,07410	0,02424
355,72878	0,01901
367,31817	0,01625
376,69174	0,01455
386,22738	0,01320
398,01534	0,01214
407,24823	0,01201
416,64968	0,01167
426,19869	0,01135
437,86130	0,01140
447,13173	0,01174
456,57834	0,01189
466,13804	0,01206
477,69382	0,01286
487,01489	0,01365
496,50248	0,01435
508,35604	0,01523
517,53446	0,01700
526,90527	0,01862
536,41822	0,02035
548,17319	0,02304
557,40572	0,02684
566,82022	0,03094
576,35511	0,03587
588,03909	0,04502
597,31726	0,05732
606,75791	0,07480
618,86817	0,10636
627,90385	0,16837
636,49542	0,25058
645,18277	0,26585
655,18100	0,17110
667,04347	0,11713
676,56525	0,09371
686,17036	0,07824
697,86973	0,06785
707,16033	0,06329
716,62402	0,05894
726,18548	0,05513
737,75487	0,05369
747,07754	0,05332
756,56451	0,05232
766,12217	0,05146
777,60491	0,05353
786,97009	0,05506
796,48387	0,05613
808,23524	0,05814
817,46012	0,06293
826,86520	0,06693
836,39818	0,07084
848,05875	0,07826
857,32778	0,08803
866,77076	0,09800
876,31698	0,10975
887,91424	0,13244
897,21654	0,16021
906,67348	0,19594
918,64174	0,25260
927,74278	0,35085
936,79930	0,47958
945,75877	0,58694
955,07017	0,54969
964,65378	0,41110
976,42882	0,32674
986,06521	0,26847
997,75202	0,22908
1007,06905	0,21086
1016,55647	0,19407
1026,12282	0,18018
1037,65918	0,17522
1046,99923	0,17292
1056,49694	0,16916
1066,04660	0,16591
1077,50767	0,17223
1086,87920	0,17584
1096,39189	0,17784
1108,10764	0,18220
1117,33620	0,19341
1126,74128	0,20073
1136,26689	0,20605
1147,89255	0,21726
1157,15811	0,23133
1166,60137	0,24095
1176,13950	0,24880
1187,68663	0,26777
1197,00225	0,28573
1206,48620	0,30056
1218,33301	0,31713
1227,51566	0,35560
1236,87415	0,39294
1246,36816	0,43472
1258,13783	0,49846
1267,27998	0,59226
1276,50225	0,67979
1285,77411	0,72498
1295,11577	0,67582
1306,64669	0,55570
1316,18949	0,44204
1325,81995	0,34927
1337,38846	0,28317
1346,78885	0,24097
1356,34029	0,20501
1365,90527	0,17603
1377,33050	0,15935
1386,76317	0,14421
1396,31743	0,13001
1407,93550	0,11923
1417,22613	0,11394
1426,69187	0,10711
1436,25299	0,10043
1447,77643	0,09780
1457,11369	0,09614
1466,61331	0,09343
1476,17798	0,09085
1487,62870	0,09368
1497,01056	0,09531
1506,53784	0,09631
1518,25047	0,09961
1527,49595	0,10757
1536,91842	0,11480
1546,46389	0,12303
1558,10725	0,13969
1567,39241	0,16274
1576,83445	0,19161
1588,87013	0,23377
1597,97751	0,31874
1607,00129	0,43215
1615,84437	0,51951
1625,14449	0,45039
1634,84670	0,30537
1646,59149	0,22257
1656,22801	0,17254
1665,82295	0,13879
1677,24589	0,12017
1686,71918	0,10499
1696,29374	0,09238
1707,85374	0,08385
1717,17833	0,07871
1726,67054	0,07308
1736,23838	0,06789
1747,71074	0,06605
1757,07454	0,06427
1766,59417	0,06185
1778,33568	0,05968
1787,56452	0,06107
1796,97329	0,06121
1806,51711	0,06103
1818,16234	0,06267
1827,44101	0,06639
1836,89387	0,06954
1846,45854	0,07325
1858,03443	0,08263
1867,35973	0,09483
1876,83500	0,11040
1888,77808	0,13532
1897,91858	0,18209
1907,04631	0,24549
1916,06535	0,30750
1925,25559	0,30859
1934,76861	0,23799
1946,50952	0,18233
1956,14775	0,14425
1965,73195	0,11743
1977,16360	0,10256
1986,64626	0,08982
1996,22266	0,07917
2007,76401	0,07212
2017,10522	0,06760
2026,60907	0,06276
2036,17950	0,05840
2047,63602	0,05732
2057,01751	0,05605
2066,54708	0,05442
2078,26052	0,05360
2087,50826	0,05557
2096,92950	0,05671
2106,47890	0,05788
2118,10714	0,06172
2127,39576	0,06753
2136,85323	0,07367
2146,41159	0,08149
2157,99350	0,09850
2167,30037	0,12147
2176,70985	0,15472
2186,05107	0,20458
2195,03641	0,25851
2203,78728	0,24576
2215,85009	0,17228
2225,61468	0,12045
