Frequenz	Amplitude
Hz	3-10mm
Inf	0,00000
10,68042	4,74660E-5
19,38799	6,19395E-5
20,38327	0,00011
29,20650	0,00022
41,14163	0,00032
50,22193	0,00047
59,49050	0,00063
68,78278	0,00073
80,58211	0,00090
89,78981	0,00111
98,97069	0,00131
108,41250	0,00149
120,25519	0,00164
129,38555	0,00197
138,73250	0,00223
148,19926	0,00245
159,87569	0,00269
169,17310	0,00312
178,53373	0,00349
188,02934	0,00389
199,60716	0,00435
208,92178	0,00506
218,37225	0,00578
227,93292	0,00650
239,43686	0,00765
248,79209	0,00931
258,29192	0,01131
267,89269	0,01400
279,38040	0,01963
288,76562	0,02926
297,98291	0,04552
306,62530	0,05746
316,19247	0,04098
327,93705	0,02644
337,68571	0,01926
347,46960	0,01511
358,61670	0,01322
368,14335	0,01173
377,78787	0,01044
389,14603	0,00974
398,56433	0,00953
408,11764	0,00914
417,78602	0,00886
429,04317	0,00910
438,47213	0,00940
448,06416	0,00959
459,56657	0,00984
468,93545	0,01088
478,40494	0,01173
488,01512	0,01257
499,43120	0,01394
508,82382	0,01605
518,32946	0,01812
527,96529	0,02046
539,31132	0,02454
548,73051	0,02983
558,26958	0,03617
569,88193	0,04473
579,24660	0,06163
588,67304	0,08691
598,10424	0,12729
607,29225	0,17880
616,33206	0,18986
627,81055	0,14596
637,64314	0,10712
649,11968	0,08431
658,56613	0,07426
668,14460	0,06578
677,84003	0,05897
689,08027	0,05576
698,53568	0,05399
708,12399	0,05173
717,82736	0,04957
728,96777	0,05054
738,45246	0,05104
748,06849	0,05089
759,45966	0,05128
768,85056	0,05458
778,36739	0,05685
788,01168	0,05867
799,32103	0,06266
808,74277	0,06892
818,28654	0,07446
827,95354	0,08023
839,20079	0,09224
848,64502	0,10673
858,20888	0,12311
869,74614	0,14440
879,10246	0,18513
888,51797	0,23710
897,96169	0,30042
907,36161	0,35711
918,51545	0,37675
927,90463	0,33037
937,62713	0,26620
949,05876	0,21895
958,50722	0,19464
968,09921	0,17299
977,81120	0,15543
989,01225	0,14812
998,48439	0,14382
1008,08987	0,13844
1017,80385	0,13355
1028,91242	0,13831
1038,40989	0,14090
1048,03519	0,14220
1059,39788	0,14632
1068,79528	0,15741
1078,31435	0,16581
1087,95795	0,17253
1099,24992	0,18673
1108,66608	0,20506
1118,20670	0,22014
1127,86528	0,23397
1139,08945	0,26210
1148,52594	0,29037
1158,08822	0,31479
1169,58259	0,33878
1178,92578	0,38821
1188,37879	0,43284
1197,94961	0,47393
1209,39773	0,52397
1218,71250	0,59540
1228,10958	0,64036
1237,61358	0,64089
1248,99394	0,59490
1258,32812	0,53657
1267,88810	0,45170
1277,61495	0,37043
1288,82876	0,31498
1298,32102	0,27260
1307,96203	0,23329
1317,70285	0,20047
1328,75668	0,18443
1338,29093	0,16738
1347,95944	0,15081
1359,23999	0,13923
1368,67249	0,13411
1378,23910	0,12695
1387,93013	0,11965
1399,12087	0,11816
1408,58398	0,11834
1418,18341	0,11702
1427,89216	0,11564
1439,00991	0,12255
1448,50523	0,12883
1458,12705	0,13466
1469,51830	0,14459
1478,92056	0,16548
