Frequenz	Amplitude
Hz	8-2
Inf	0,00000
15,98149	1,72120E-5
15,86659	3,32724E-5
23,64215	0,00010
32,35951	0,00021
40,92136	0,00034
50,37216	0,00061
59,65317	0,00093
68,87856	0,00124
80,55191	0,00160
89,88706	0,00208
99,10739	0,00252
108,56021	0,00295
120,17717	0,00334
129,43771	0,00391
138,83039	0,00444
148,33365	0,00481
159,82183	0,00518
169,18522	0,00585
178,61799	0,00636
188,19153	0,00668
199,60482	0,00717
208,97304	0,00785
218,49116	0,00827
228,10518	0,00854
239,38191	0,00921
248,80699	0,00984
258,36027	0,01022
268,03887	0,01041
279,19063	0,01123
288,66322	0,01181
298,27105	0,01213
309,63935	0,01246
319,02941	0,01331
328,54859	0,01384
338,19305	0,01407
349,45807	0,01462
358,89288	0,01548
368,44820	0,01590
378,12846	0,01606
389,29512	0,01692
398,76154	0,01770
408,36312	0,01802
418,07576	0,01812
429,13967	0,01928
438,65266	0,01997
448,28623	0,02021
459,56401	0,02061
468,99348	0,02180
478,54721	0,02237
488,21914	0,02255
499,40429	0,02334
508,86701	0,02445
518,45460	0,02493
528,16155	0,02506
539,25109	0,02635
548,74633	0,02739
558,37223	0,02777
569,69150	0,02788
579,11219	0,02967
588,64179	0,03056
598,30053	0,03089
609,52631	0,03159
618,97455	0,03323
628,54342	0,03410
638,23485	0,03435
649,36929	0,03571
658,85028	0,03731
668,45777	0,03805
678,18230	0,03830
689,22552	0,04044
698,74099	0,04197
708,38065	0,04269
719,65259	0,04307
729,08722	0,04587
738,63752	0,04736
748,30913	0,04797
759,49574	0,04952
768,95867	0,05231
778,54217	0,05380
788,24640	0,05434
799,34576	0,05710
808,84055	0,06000
818,45800	0,06149
828,19111	0,06220
839,20702	0,06645
848,72966	0,06939
858,38064	0,07099
869,62749	0,07270
879,07197	0,07786
888,62949	0,08099
898,31070	0,08276
909,47438	0,08664
918,94570	0,09239
928,53593	0,09591
938,24550	0,09810
949,32762	0,10455
958,82761	0,11095
968,44873	0,11500
978,18441	0,11784
989,18527	0,12786
998,71378	0,13515
1008,36693	0,13984
1019,60517	0,14569
1029,04879	0,15772
1038,60669	0,16574
1048,28723	0,17105
1059,44544	0,18096
1068,91286	0,19392
1078,49972	0,20200
1088,20440	0,20677
1099,28501	0,22026
1108,77827	0,23195
1118,39500	0,23754
1128,12546	0,23891
1139,12359	0,25335
1148,64665	0,25964
1158,30092	0,25895
1169,53085	0,25837
1178,97254	0,26648
1188,53719	0,26571
1198,22947	0,25921
1209,36527	0,25821
1218,84220	0,25985
1228,45116	0,25388
1238,18049	0,24431
1249,21711	0,24504
1258,73312	0,24317
1268,38048	0,23558
1278,14084	0,22589
1289,08339	0,22940
1298,63922	0,22606
1308,32274	0,21872
1319,49288	0,21430
1328,96131	0,21671
1338,55426	0,21332
1348,26953	0,20677
1359,34833	0,20720
1368,85049	0,20899
1378,47736	0,20579
1388,22114	0,20026
1399,21246	0,20487
1408,74725	0,20629
1418,40705	0,20331
1429,63188	0,19999
1439,08328	0,20692
1448,65225	0,20808
1458,34500	0,20562
1469,48499	0,20723
1478,96622	0,21410
1488,56760	0,21565
1498,29095	0,21423
1509,34590	0,22160
1518,85765	0,22926
1528,49206	0,23203
1538,23997	0,23260
1549,21511	0,24672
1558,75841	0,25650
1568,42291	0,26176
1579,63407	0,26920
1589,09423	0,28954
1598,66630	0,30365
1608,36057	0,31441
1619,49759	0,33564
1628,98310	0,36600
1638,58388	0,39124
1648,30120	0,41521
1659,37685	0,46560
1668,88308	0,52299
1678,50120	0,58121
1689,84260	0,64739
1699,25982	0,77804
1708,74125	0,91220
1718,24855	0,98134
1727,82577	0,99504
1738,84933	1,02605
1748,34782	0,99572
1758,02978	0,87405
1769,23099	0,71766
1778,73084	0,60896
1788,38268	0,50850
1798,15819	0,42480
1809,16167	0,37230
1818,70940	0,33005
1828,39055	0,28861
1838,18325	0,25240
1849,07515	0,23450
1858,66185	0,21463
1868,37855	0,19484
1879,49983	0,18082
1888,99938	0,17598
1898,61548	0,16891
1908,34287	0,16166
1919,38960	0,16092
1928,89473	0,16211
1938,51474	0,15935
1948,24990	0,15412
1959,23396	0,15513
1968,76182	0,15336
1978,41624	0,14748
1989,63975	0,13996
1999,08920	0,14017
2008,65679	0,13587
2018,35091	0,12905
2029,48350	0,12398
2038,96624	0,12269
2048,57000	0,11808
2058,29679	0,11189
2069,34153	0,10947
2078,85432	0,10766
2088,49392	0,10330
2098,24943	0,09801
2109,20669	0,09754
2118,75255	0,09554
2128,42397	0,09159
2139,61490	0,08758
2149,07684	0,08799
2158,65813	0,08586
2168,36311	0,08230
2179,46834	0,08037
2188,95898	0,08030
2198,57108	0,07810
2208,30566	0,07485
2219,32731	0,07448
2228,84780	0,07398
2238,49537	0,07177
