Frequenz	Amplitude
Hz	9-2-10mm
Inf	0,00000
9,98635	4,78558E-5
15,08922	4,25269E-5
20,12749	6,19446E-5
33,77819	0,00013
41,98753	0,00022
46,55146	0,00038
59,21431	0,00057
67,85255	0,00085
76,73768	0,00114
85,80027	0,00145
95,15385	0,00179
107,23302	0,00212
116,17791	0,00255
125,37975	0,00294
134,87887	0,00329
146,74336	0,00369
155,84307	0,00418
165,17727	0,00458
174,66673	0,00497
186,40403	0,00534
195,58049	0,00584
205,02070	0,00630
214,50705	0,00671
226,11907	0,00712
235,39823	0,00764
244,87491	0,00806
254,36290	0,00842
265,88954	0,00892
275,23697	0,00944
284,74132	0,00987
294,19010	0,01020
305,69697	0,01076
315,10778	0,01130
324,61346	0,01172
334,03459	0,01202
345,52643	0,01273
354,97908	0,01324
364,47964	0,01366
376,05246	0,01407
385,37607	0,01478
394,86498	0,01530
404,33045	0,01570
415,84986	0,01628
425,23755	0,01696
434,74412	0,01750
444,17266	0,01788
455,67965	0,01867
465,11798	0,01929
474,61600	0,01988
486,22893	0,02024
495,52970	0,02122
504,99877	0,02195
514,47575	0,02252
526,02265	0,02311
535,38878	0,02415
544,87358	0,02484
554,32096	0,02538
565,84544	0,02626
575,25490	0,02732
584,75255	0,02812
594,15563	0,02862
605,67747	0,02993
615,12711	0,03095
624,61849	0,03181
636,21100	0,03251
645,52994	0,03410
655,00267	0,03524
664,47501	0,03621
676,01365	0,03739
685,38809	0,03906
694,88300	0,04038
704,31799	0,04138
715,83368	0,04324
725,25766	0,04507
734,75482	0,04658
744,14790	0,04762
755,67579	0,05032
765,13129	0,05240
774,61677	0,05417
786,19158	0,05603
795,52651	0,05913
805,00501	0,06157
814,46891	0,06361
826,00035	0,06667
835,38746	0,07027
844,88184	0,07342
854,30752	0,07596
865,82629	0,08066
875,25686	0,08498
884,74897	0,08903
896,37792	0,09251
905,66474	0,09922
915,12808	0,10487
924,60881	0,11006
936,17124	0,11619
945,51376	0,12451
954,99705	0,13199
964,45075	0,13893
975,97910	0,14886
985,36912	0,15978
994,86110	0,16984
1004,27835	0,17914
1015,79253	0,19439
1025,22184	0,20871
1034,70886	0,22227
1046,32602	0,23535
1055,60993	0,25622
1065,06643	0,27424
1074,53619	0,29077
1086,08888	0,30772
1095,42496	0,33027
1104,90047	0,34836
1114,34370	0,36286
1125,86036	0,37897
1135,24920	0,39617
1144,73819	0,40777
1154,14608	0,41307
1165,66659	0,42284
1175,10980	0,43137
1184,59905	0,43485
1193,96053	0,43166
1205,51888	0,44077
1214,99737	0,44455
1224,47237	0,44500
1236,02181	0,44462
1245,39788	0,45421
1254,89412	0,46010
1264,33694	0,46323
1275,86274	0,47405
1285,28528	0,48898
1294,78458	0,50241
1304,18555	0,51318
1315,71409	0,54302
1325,16768	0,57108
1334,65530	0,60039
1346,24492	0,63426
1355,55402	0,69100
1365,01540	0,74764
1374,45230	0,80363
1385,93051	0,84765
1395,22731	0,89107
1404,65201	0,91570
1414,05793	0,92278
1423,30839	0,89863
1434,96182	0,88549
1444,45285	0,83279
1453,83294	0,73781
1465,41795	0,62685
1474,92174	0,54983
1484,42453	0,48061
1493,75575	0,41636
1505,38666	0,37077
1514,89333	0,33315
