Frequenz	Amplitude
Hz	2-30
Inf	0,00000
11,00597	3,37749E-5
18,66038	2,58559E-5
24,21779	5,90651E-5
33,73724	0,00014
37,85903	0,00022
46,36022	0,00030
55,49717	0,00039
67,86479	0,00051
76,60567	0,00067
85,71746	0,00083
95,07257	0,00100
104,55155	0,00118
116,08787	0,00140
125,38938	0,00158
134,79563	0,00177
144,32526	0,00199
155,75015	0,00225
165,15008	0,00249
174,60476	0,00271
186,36999	0,00291
195,48668	0,00322
204,92586	0,00348
214,47450	0,00374
226,07518	0,00398
235,33960	0,00440
244,81565	0,00466
254,29667	0,00495
265,82433	0,00531
275,18948	0,00574
284,67528	0,00609
294,14943	0,00645
305,64883	0,00694
315,03842	0,00746
324,55497	0,00795
333,98481	0,00834
345,47214	0,00905
354,91756	0,00976
364,42329	0,01040
376,02354	0,01110
385,33010	0,01212
394,81701	0,01314
404,29323	0,01414
415,83541	0,01543
425,21547	0,01704
434,70859	0,01871
444,16002	0,02047
455,67418	0,02304
465,09758	0,02600
474,60795	0,02932
486,28356	0,03343
495,54776	0,03972
505,01027	0,04736
514,52001	0,05744
526,14472	0,07383
535,42656	0,09969
544,79484	0,14162
553,96370	0,21091
562,79696	0,28419
571,77216	0,23020
584,04168	0,15269
593,63453	0,11293
602,94247	0,08768
614,81575	0,07452
624,34307	0,06540
633,72895	0,05807
645,30863	0,05295
654,80150	0,04961
664,28784	0,04666
673,60026	0,04371
685,22180	0,04266
694,72580	0,04154
704,17120	0,04039
715,69352	0,03946
725,11945	0,03946
734,62212	0,03925
744,02657	0,03891
755,55410	0,03935
765,01232	0,04002
774,50363	0,04049
783,85652	0,04057
795,42014	0,04222
804,90228	0,04353
814,37272	0,04464
825,91418	0,04596
835,29289	0,04833
844,78677	0,05034
854,22790	0,05223
865,74798	0,05516
875,17208	0,05855
884,66638	0,06184
894,06371	0,06480
905,59504	0,07027
915,05056	0,07552
924,53884	0,08081
936,12587	0,08677
945,44922	0,09555
954,92977	0,10423
964,39723	0,11333
975,93668	0,12551
985,31154	0,14038
994,80105	0,15611
1004,23710	0,17318
1015,75200	0,19832
1025,16146	0,22634
1034,64975	0,25796
1046,31203	0,29310
1055,54180	0,34606
1064,96079	0,40273
1074,41693	0,46506
1085,97368	0,52777
1095,20935	0,60694
1104,62516	0,67048
1114,06133	0,71083
1123,35449	0,71616
1134,94209	0,71523
1144,44529	0,70159
1153,88604	0,67421
1165,40205	0,63106
1174,83885	0,60791
1184,33478	0,57658
1193,71630	0,53724
1205,25248	0,49474
1214,72833	0,46295
1224,20938	0,42755
1233,52848	0,38664
1245,14018	0,35259
1254,64339	0,32390
1264,09291	0,29470
1273,34417	0,26335
1285,05732	0,24419
1294,56258	0,22484
1303,96663	0,20542
1315,50766	0,18797
1324,97394	0,17590
1334,46665	0,16385
1343,81322	0,15115
1355,39304	0,14247
1364,87960	0,13509
1374,34741	0,12755
1385,88825	0,11918
1395,27731	0,11542
1404,77511	0,11091
1414,20762	0,10606
1425,73151	0,10184
1435,16473	0,09964
1444,66080	0,09690
1454,04764	0,09355
1465,58718	0,09213
1475,05286	0,09100
1484,53780	0,08954
1496,11393	0,08728
1505,45706	0,08825
1514,94461	0,08843
1524,40596	0,08826
1535,94266	0,08853
1545,33531	0,09076
1554,83248	0,09251
1564,26168	0,09385
1575,78653	0,09745
1585,22176	0,10171
1594,71809	0,10589
1604,10868	0,10979
1615,65001	0,11885
1625,11553	0,12776
1634,60531	0,13776
1646,19215	0,15138
1655,52940	0,17136
1665,01475	0,19521
1674,49127	0,22630
1686,03464	0,27851
1695,34803	0,35370
1704,69631	0,46235
1713,85587	0,60224
1722,79882	0,66918
1731,74206	0,52013
1744,11020	0,37584
1753,60917	0,28084
1765,28542	0,21557
1774,82367	0,17937
1784,32654	0,15197
1793,64074	0,12921
1805,30103	0,11401
1814,81256	0,10219
1824,25940	0,09178
1835,79663	0,08250
1845,23585	0,07677
1854,74440	0,07132
1864,14635	0,06612
1875,69687	0,06284
1885,17008	0,06062
1894,66527	0,05875
1906,25237	0,05705
1915,58157	0,05794
1925,05244	0,05851
1934,50878	0,05896
1946,03692	0,05944
1955,39721	0,06085
1964,87884	0,06142
1974,31003	0,06124
1985,82788	0,06133
1995,24423	0,06182
2004,73950	0,06171
2014,13376	0,06090
2025,66630	0,06137
2035,12335	0,06168
2044,61046	0,06164
2056,19381	0,06098
2065,52496	0,06244
2075,00749	0,06319
2084,47374	0,06359
2096,01235	0,06436
2105,39613	0,06635
2114,89191	0,06788
2124,32540	0,06906
2135,84854	0,07180
2145,27533	0,07495
2154,77297	0,07796
2164,16585	0,08066
